Entry ID,[Str. Pos.],[Str. Size],[Str. Encoding],Str. Value,[Str. Data]
2198,0x353ebc,23,Shift_JIS,ボス戦闘用BGM(通常時2),"""\x83{\x83X\x90\xED\x93\xAC\x97pBGM(\x92\xCA\x8F\xED\x8E\x9E2)"""
2199,0x353efc,8,Shift_JIS,\\sound\\,"""\\sound\\"""
2200,0x353f1c,4,Shift_JIS,M60,"""M60"""
2201,0x353f44,23,Shift_JIS,ボス戦闘用BGM(通常時3),"""\x83{\x83X\x90\xED\x93\xAC\x97pBGM(\x92\xCA\x8F\xED\x8E\x9E3)"""
2202,0x353f84,8,Shift_JIS,\\sound\\,"""\\sound\\"""
2203,0x353fa4,4,Shift_JIS,M60,"""M60"""
2204,0x353fcc,23,Shift_JIS,ボス戦闘用BGM(通常時4),"""\x83{\x83X\x90\xED\x93\xAC\x97pBGM(\x92\xCA\x8F\xED\x8E\x9E4)"""
2205,0x35400c,8,Shift_JIS,\\sound\\,"""\\sound\\"""
2206,0x35402c,4,Shift_JIS,M60,"""M60"""
2207,0x354054,23,Shift_JIS,ボス戦闘用BGM(ピンチ1),"""\x83{\x83X\x90\xED\x93\xAC\x97pBGM(\x83s\x83\x93\x83`1)"""
2208,0x354094,8,Shift_JIS,\\sound\\,"""\\sound\\"""
2209,0x3540b4,4,Shift_JIS,M60,"""M60"""
2210,0x3540dc,23,Shift_JIS,ボス戦闘用BGM(ピンチ2),"""\x83{\x83X\x90\xED\x93\xAC\x97pBGM(\x83s\x83\x93\x83`2)"""
2211,0x35411c,8,Shift_JIS,\\sound\\,"""\\sound\\"""
2212,0x35413c,4,Shift_JIS,M60,"""M60"""
2213,0x354164,25,Shift_JIS,ボス戦闘用BGM(チャンス1),"""\x83{\x83X\x90\xED\x93\xAC\x97pBGM(\x83`\x83\x83\x83\x93\x83X1)"""
2214,0x3541a4,8,Shift_JIS,\\sound\\,"""\\sound\\"""
2215,0x3541c4,4,Shift_JIS,M60,"""M60"""
